Source Name,License,Attribution Requirement,Download URL,Download Date,Language,Redistribution Allowed,Approved for Use
OpenSubtitles Macedonian 50k (Hermit Dave / FrequencyWords),CC BY-SA 4.0,Attribution + ShareAlike required,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/mk/mk_50k.txt,2026-06-26,Macedonian,Yes,Yes
OpenSubtitles Macedonian Full (Hermit Dave / FrequencyWords),CC BY-SA 4.0,Attribution + ShareAlike required,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/mk/mk_full.txt,2026-06-26,Macedonian,Yes,Yes
