Source Name,License,Attribution Requirement,Download URL,Download Date,Language,Redistribution Allowed,Approved for Use
Macedonian Wikipedia Dump,CC BY-SA 4.0,Attribution + ShareAlike required,https://dumps.wikimedia.org/mkwiki/latest/mkwiki-latest-pages-articles.xml.bz2,2026-06-24,Macedonian,Yes,Yes
Wikibooks Macedonian Export,CC BY-SA 4.0,Attribution + ShareAlike required,https://dumps.wikimedia.org/mkwikibooks/latest/mkwikibooks-latest-pages-articles.xml.bz2,2026-06-24,Macedonian,Yes,Yes
Mozilla Common Voice Corpus (mk transcripts),CC0-1.0 (sentences),Attribution not required by CC0 (recommended in project notes),https://commonvoice.mozilla.org/en/datasets,2026-06-24,Macedonian,Yes,Yes
OpenSubtitles Macedonian via OPUS,See source subtitle rights and OPUS terms,Attribution required and rights check needed per subtitle source,https://opus.nlpl.eu/OpenSubtitles-v2018.php,2026-06-24,Macedonian,No,No
