word,source,speaker,license,original_filename,url
август,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-август.wav,https://upload.wikimedia.org/wikipedia/commons/9/93/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82.wav
јули,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-јули.wav,https://upload.wikimedia.org/wikipedia/commons/c/c2/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%98%D1%83%D0%BB%D0%B8.wav
боб,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-боб.wav,https://upload.wikimedia.org/wikipedia/commons/c/cc/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B1%D0%BE%D0%B1.wav
автор,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-автор.wav,https://upload.wikimedia.org/wikipedia/commons/1/16/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B0%D0%B2%D1%82%D0%BE%D1%80.wav
судбина,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-судбина.wav,https://upload.wikimedia.org/wikipedia/commons/f/f7/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D1%83%D0%B4%D0%B1%D0%B8%D0%BD%D0%B0.wav
крај,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-крај.wav,https://upload.wikimedia.org/wikipedia/commons/9/9d/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D1%80%D0%B0%D1%98.wav
дава,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-дава.wav,https://upload.wikimedia.org/wikipedia/commons/2/21/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B4%D0%B0%D0%B2%D0%B0.wav
тие,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-тие.wav,https://upload.wikimedia.org/wikipedia/commons/d/df/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D0%B8%D0%B5.wav
музика,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-музика.wav,https://upload.wikimedia.org/wikipedia/commons/1/1a/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D1%83%D0%B7%D0%B8%D0%BA%D0%B0.wav
интересен,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-интересен.wav,https://upload.wikimedia.org/wikipedia/commons/f/f6/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%B5%D0%BD.wav
разлика,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-разлика.wav,https://upload.wikimedia.org/wikipedia/commons/e/e3/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%80%D0%B0%D0%B7%D0%BB%D0%B8%D0%BA%D0%B0.wav
без,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-без.wav,https://upload.wikimedia.org/wikipedia/commons/9/92/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B1%D0%B5%D0%B7.wav
ден,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ден.wav,https://upload.wikimedia.org/wikipedia/commons/f/fa/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B4%D0%B5%D0%BD.wav
секој,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-секој.wav,https://upload.wikimedia.org/wikipedia/commons/2/26/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B5%D0%BA%D0%BE%D1%98.wav
традиција,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-традиција.wav,https://upload.wikimedia.org/wikipedia/commons/4/42/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D1%80%D0%B0%D0%B4%D0%B8%D1%86%D0%B8%D1%98%D0%B0.wav
војна,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-војна.wav,https://upload.wikimedia.org/wikipedia/commons/6/60/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D0%BE%D1%98%D0%BD%D0%B0.wav
